score,subject,title
9.7,希望让人自由。,肖申克的救赎
9.6,风华绝代。,霸王别姬
9.5,一部美国近现代史。,阿甘正传
9.5,失去的才是永恒的。 ,泰坦尼克号
9.4,最好的宫崎骏，最好的久石让。 ,千与千寻
9.4,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷
9.5,最美的谎言。,美丽人生
9.4,爱是一种力量，让我们超越时空感知它的存在。,星际穿越
9.4,诺兰给了我们一场无法盗取的梦。,盗梦空间
9.4,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界
9.5,拯救一个人，就是拯救整个世界。,辛德勒的名单
9.4,永远都不能忘记你所爱的人。,忠犬八公的故事
9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师
9.2,英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞
9.3,天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天
9.3,小瓦力，大人生。,机器人总动员
9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城
9.3,香港电影史上永不过时的杰作。,无间道
9.6,比利·怀德满分作品。,控方证人
9.2,一生所爱。,大话西游之大圣娶亲
9.4,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉
9.3,千万不要记恨你的对手，这样会让你失去理智。,教父
9.3,满满温情的高雅喜剧。,触不可及
9.2,平民励志片。 ,当幸福来敲门
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,寻梦环游记
8.9,天使暂时离开。,绿里奇迹
8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,爱在午夜降临前
8.8,是枝裕和的家庭习作。,海街日记
8.8,香港浪漫主义警匪动作片的巅峰之作。,纵横四海
8.9,当这个世界闭上双眼，他却敞开了怀抱。,卢旺达饭店
8.6,中国版《两杆大烟枪》。,疯狂的石头
8.9,现代科幻电影的开山之作，最伟大导演的最伟大影片。,2001太空漫游
8.8,,无间道2
8.7,一个针管引发的血案。,记忆碎片
9.1,自由万岁。,飞越疯人院
8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,功夫
8.9,安东尼·霍普金斯的顶级表演。,沉默的羔羊
8.9,小清新的故事里注入了大历史的情怀。,布达佩斯大饭店
8.9,昔日翩翩少年，今日大腹便便。,禁闭岛
8.9,人的命运被自己瞬间的抉择改变。,蝴蝶效应
9.0,不一样的导演，不一样的哈利·波特。,哈利·波特与阿兹卡班的囚徒
8.9,孪生蝙蝠侠大战克隆金刚狼。,致命魔术
9.0,人生中应该拥有这样的一段豁然开朗。,心灵捕手
9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,超脱
9.1,骨灰级歌舞片。,雨中曲
8.7,我们组成了家。,小偷家族
8.7,迪士尼和皮克斯拿错剧本的产物。,无敌破坏王
8.7,岁月流逝，来日可追。,岁月神偷
9.2,养狗三日，便会对你终其一生。,忠犬八公物语
8.8,始于荒诞，止于更荒诞。,荒蛮故事
8.6,松鼠才是角儿。,冰川时代
8.9,弱者送给弱者的一刀。,牯岭街少年杀人事件
8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,爆裂鼓手
8.5,不要企图在重复中寻找已经失去的爱。,恐怖游轮
9.0,,东京教父
8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,魔女宅急便
8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,大佛普拉斯
8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁
8.7,用剩余不多的时间，去燃烧整个生命。,遗愿清单
8.6,电影诗。,东邪西毒
8.9,故事的高级讲法。,低俗小说
9.3,大时代中的人生，小人物的悲喜。,摩登时代
9.0,爱情纠缠，男女一致。,春光乍泄
8.8,我是一个演员。,喜剧之王
9.3,海豚的微笑，是世界上最高明的伪装。,海豚湾
9.1,往事如烟，无处祭奠。,美国往事
8.9,最不可能的那个人永远是最可能的。,致命ID
8.9,关于连环杀人悬案的集体回忆。,杀人回忆
8.9,魔法的密室之门已打开...,哈利·波特与密室
9.1,梦的勾结。,红辣椒
8.8,约翰尼·德普的独角戏。,加勒比海盗
9.1,我们都曾经是一一。,一一
8.8,警察抓小偷，老鼠玩死猫。,七宗罪
9.1,人言可畏。,狩猎
8.7,华太师是黄霑，吴镇宇四大才子之一。,唐伯虎点秋香
8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,模仿游戏
8.6,写给影迷，动漫迷和游戏迷的一封情书。,头号玩家
8.8,偷情本没有这样美。,花样年华
8.7,百看不厌。 ,射雕英雄传之东成西就
9.3,时代悲歌。,七武士
9.0,爱并不需要智商 。,我是山姆
8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,血战钢锯岭
9.0,故事的反转与反转，分裂电影的始祖。,惊魂记
8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘
8.9,没有了退路，只好飞向自由。,末路狂花
8.9,感情不分食草或者食肉。,你看起来好像很好吃
8.9,坚硬的信仰。,可可西里
8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,源代码
9.3,永远的小人物，伟大的卓别林。,城市之光
8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,疯狂的麦克斯4：狂暴之路
8.6,黑暗之美。,黑天鹅
8.6,我们都有权利不与自己的过去和解。,海边的曼彻斯特
8.6,,波西米亚狂想曲
8.5,爱，是个动词。,真爱至上
8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,雨人
8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,青蛇
8.4,,爱乐之城
9.3,,芙蓉镇
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社
8.9,去除成见，需要勇气。,绿皮书
9.4,经典之作，历久弥新。,大闹天宫
9.1,爱情哪怕只有一天。,罗马假日
9.1,视觉革命。,黑客帝国
9.1,传说的开始。,指环王1：护戒使者
9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院
9.3,优雅的孤独。,教父2
9.1,动物版《哈姆雷特》。,狮子王
9.2,电影的现实意义大过电影本身。,辩护人
9.2,人生不能像做菜，把所有的料都准备好了才下锅。,饮食男女
9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部
9.0,在时间之河里感受溺水之苦。,本杰明·巴顿奇事
8.7,恐怖分子的“秋菊打官司”。,恐怖直播
8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,你的名字。
8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,黑客帝国3：矩阵革命
8.7,怼天怼地，你走后，她与世界为敌。,三块广告牌
8.7,真相就在眼前。,电锯惊魂
8.8,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,心迷宫
8.8,Jared Leto的腿比女人还美！,达拉斯买家俱乐部
8.7,老少皆宜，这就是好莱坞动画的魅力。,疯狂原始人
8.8,像吃了苏打饼一样干脆的电影。,谍影重重3
8.7,,小丑
9.5,,背靠背，脸对脸
8.7,,心灵奇旅
9.0,被上帝抛弃了的上帝之城。,上帝之城
8.6,英雄泪短，兄弟情长。 ,英雄本色
8.9,动画片的圣经。,风之谷
8.5,黑小鸭速效美白记。,初恋这件小事
8.8,少见的超越首部的续集，动作片中的经典。,终结者2：审判日
8.7,对爱的执着，可以超越一切。,人工智能
8.9,永远看不腻的喜剧。,虎口脱险
8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,恋恋笔记本
9.5,,高山下的花环
8.7,嬉笑怒骂，调风动月。,新龙门客栈
8.7,昆汀同学越来越变态了，比北野武还杜琪峰。,无耻混蛋
8.6,,花束般的恋爱
8.8,人生的N种可能性。,罗生门
8.6,,崖上的波妞
9.1,爱是一切逻辑和原由。,美丽心灵
9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩
9.2,别样人生。,窃听风暴
8.9,暗恋的极致。,情书
9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,两杆大烟枪
9.1,用音乐化解仇恨，让歌声串起美好。,音乐之声
8.9,美丽无罪。,西西里的美丽传说
8.8,你以为你以为的就是你以为的。,看不见的客人
9.0,10年的完美句点。,哈利·波特与死亡圣器(下)
8.8,绝对意义上的美轮美奂。,阿凡达
9.1,美利坚精神输出大片No1.,拯救大兵瑞恩
9.2,奔跑的孩子是天使。,小鞋子
9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,末代皇帝
9.2,人人心中都有个龙猫，童年就永远不会消失。,龙猫
9.1,真正的幸福是来自内心深处。,怦然心动
9.3,张艺谋最好的电影。,活着
9.2,童话世界的开端。,哈利·波特与魔法石
9.2,无尽的黑暗。,蝙蝠侠：黑暗骑士
9.3,史诗的终章。,指环王3：王者无敌
9.0,对我们国家而言，这样的电影多一部是一部。,我不是药神
9.3,Tomorrow is another day.,乱世佳人
9.1,最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记
9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,素媛
9.1,带着心爱的人在天空飞翔。,哈尔的移动城堡
8.7,法式小清新。 ,天使爱美丽
9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,小森林 夏秋篇
8.8,,哈利·波特与火焰杯
8.9,少女情怀总是诗。,侧耳倾听
8.8,和谐的生活离不开摸头与被摸头。,驯龙高手
9.6,,茶馆
8.8,有时候幸福需要等一等。 ,幸福终点站
9.0,任何信念的力量，都无法改变命运。,教父3
8.8,不要给它起名字，起了名字就有感情了。,怪兽电力公司
8.9,惠及一生的美丽。,一个叫欧维的男人决定去死
8.9,要做就做得狠一点，这样才能活下去。,新世界
